question_id ;question_english;correct_answer_english;incorrect_answer_1_english;incorrect_answer_2_english;incorrect_answer_3_english;question_french;correct_answer_french;incorrect_answer_1_french;incorrect_answer_2_french;incorrect_answer_3_french
B-001-012-004;Which of the following is not an exception from the penalties under the Act, for divulging, intercepting or using information obtained through radiocommunication, other than broadcasting?;Where it is to provide information for a journalist;Where it is for the purpose of preserving or protecting property, or for the prevention of harm to a person;Where it is for the purpose of giving evidence in a criminal or civil proceeding in which persons are required to give evidence;Where it is on behalf of Canada, for the purpose of international or national defence or security;Lequel des énoncés suivants n'est pas une exception aux peines encourues selon la Loi pour avoir divulgué, intercepté ou utilisé l'information obtenue par radiocommunication autrement que d'un radiodiffuseur :;dans le but de fournir l'information à un journaliste;dans le but de préserver ou protéger la propriété ou pour protéger une personne contre tout dommage;dans le but de fournir des preuves lors de poursuites judiciaires où il est requis de témoigner;dans le but d'aider à la sécurité canadienne ou à la défense nationale ou internationale
B-001-013-001;Which of the following call signs is a valid Canadian amateur radio call sign?;VA3XYZ;SM2CAN;BY7HY;KA9OLS;Lequel de ces indicatifs identifie une station canadienne du service radioamateur?;VA3XYZ;SM2CAN;BY7HY;KA9OLS
B-001-013-002;How often must an amateur station be identified?;At least every thirty minutes, and at the beginning and at the end of a contact;At the beginning of a contact and at least every thirty minutes after that;At least once during each transmission;At the beginning and end of each transmission;En termes de temps, à quel intervalle un radioamateur doit-il identifier sa station?;Au moins à toutes les 30 minutes, ainsi qu'au début et à la fin de toute communication;Au début de la communication, et au moins à toutes les 30 minutes par la suite;Au moins une fois à chacune des émissions;Au début et à la fin de chaque émission
B-001-013-003;What do you transmit to identify your amateur station?;Your call sign;Your "handle";Your first name and your location;Your full name;De quelle façon un radioamateur doit-il identifier sa station?;Par son indicatif;Par son surnom;Par son prénom et son lieu d'émission;Par son nom au complet
B-001-013-004;What identification, if any, is required when two amateur stations begin communications?;Each station must transmit its own call sign;No identification is required;Both stations must transmit both call signs;One of the stations must give both stations' call signs;Est-il nécessaire d'identifier les stations lorsque deux amateurs commencent une conversation?;Chacune des stations doit s'identifier;Aucune identification n'est requise;Chacune des stations doit identifier les deux stations;Une des stations doit identifier les deux stations par leurs indicatifs respectifs
B-001-013-005;What identification, if any, is required when two amateur stations end communications?;Each station must transmit its own call sign;No identification is required;One of the stations must transmit both stations' call signs;Both stations must transmit both call signs;Quelle identification est requise à la fin d'une communication entre deux radioamateurs?;Chacune des stations doit transmettre son indicatif;Aucune identification n'est requise;Une des deux stations doit transmettre les deux indicatifs;Les deux stations doivent transmettre les deux indicatifs
B-001-013-006;What is the longest period of time an amateur station can transmit, without identifying by call sign?;30 minutes;20 minutes;15 minutes;10 minutes;Quel est l'intervalle de temps le plus long où une station du service radioamateur peut être en ondes sans s'identifier?;30 minutes;20 minutes;15 minutes;10 minutes
B-001-013-007;When may an amateur transmit unidentified communications?;Never, except to control a model craft;Only for brief tests not meant as messages;Only if it does not interfere with others;Only for two-way or third-party communications;Quand un radioamateur peut-il transmettre des communications non identifiées?;Jamais, sauf pour télécommander un modèle réduit;Seulement pour des essais qui ne sont pas des messages;Toujours, à la condition de ne pas nuire aux autres communications;Seulement dans les communications entre deux stations, ou durant les communications au nom d'un tiers
B-001-013-008;What language may you use when identifying your station?;English or French;Any language being used for a contact;Any language being used for a contact, providing Canada has a third-party communications agreement with that country;Any language of a country which is a member of the International Telecommunication Union;Quelle langue pouvez-vous utiliser pour identifier votre station?;Le français ou l'anglais;N'importe quelle langue;N'importe quelle langue pourvu que le Canada ait une entente permettant les communications au nom d'un tiers avec le pays;La langue d'un pays qui est membre de l'Union internationale des télécommunications
B-001-013-009;The call sign of an amateur station must be transmitted:;at the beginning and at the end of each exchange of communications and at intervals not greater than 30 minutes;at intervals not greater than three minutes when using voice communications;at intervals not greater than ten minutes when using Morse code;when requested to do so by the station being called;L'indicatif d'appel d'une station de radioamateur doit être transmis :;au début et à la fin de chaque échange de communication et à des intervalles d'au plus 30 minutes;à intervalles d'au plus trois minutes dans le cas des communications par téléphonie;à intervalles d'au plus dix minutes dans le cas des communications en code Morse;sur demande de la station contactée
B-001-013-010;The call sign of an amateur station must be sent:;at the beginning and end of each exchange of communications, and at least every 30 minutes, while in communications;every minute;every 15 minutes;once after initial contact;L'indicatif d'appel d'une station du service radioamateur doit être transmis :;au commencement et à la fin de chaque échange de communications et au moins chaque demi-heure durant la communication;à toutes les minutes;à toutes les quinze minutes;une fois après le contact initial
B-001-013-011;The call sign of a Canadian amateur radio station would normally start with the letters:;VA, VE, VO or VY;GA, GE, MO or VQ;A, K, N or W;EA, EI, RO or UY;Au Canada, l'indicatif d'appel d'une station du service radioamateur commence normalement par :;VA, VE, VO ou VY;GA, GE, MO ou VQ;A, K, N ou W;EA, EI, RO ou UY
B-001-014-001;If a non-amateur friend is using your station to talk to someone in Canada, and a foreign station breaks in to talk to your friend, what should you do?;Have your friend wait until you determine from the foreign station if their administration permits third-party traffic;Since you can talk to foreign amateurs, your friend may keep talking as long as you are the control operator;Report the incident to the foreign amateur's government;Stop all discussions and quickly sign off;Un ami non-radioamateur utilise votre station pour converser avec un autre Canadien et, à un moment donné, un radioamateur étranger intervient pour parler à votre ami. Que devriez-vous faire?;Demander à votre ami de patienter pendant que vous questionnez le radioamateur étranger pour confirmer si son administration permet les communications au nom d'un tiers;Comme vous pouvez parler à des radioamateurs étrangers et que vous supervisez, vous permettez à votre ami de continuer;Rapporter dès que possible le cas au gouvernement du radioamateur étranger;Interrompre immédiatement les communications
B-001-014-002;If you let an unqualified third party use your amateur station, what must you do at your station's control point?;You must continuously monitor and supervise the third party's participation;You must key the transmitter and make the station identification;You must monitor and supervise the communication only if contacts are made on frequencies below 30 MHz;You must monitor and supervise the communication only if contacts are made in countries which have no third party communications;Si vous permettez à un tiers non qualifié d'utiliser votre station, que devez-vous faire durant cette période?;Vous devez en tout temps écouter et superviser l'émission faite par le tiers;Vous devez être aux commandes de l'émetteur, et faire l'identification de la station;Vous devez écouter et superviser l'émission seulement si elle est faite sur les fréquences au-dessous de 30 MHz;Vous devez superviser l'émission seulement si des contacts sont menés avec des pays qui s'opposent aux communications au nom d'un tiers
B-001-014-003;Radio amateurs may use their stations to transmit international communications on behalf of a third party only if:;such communications have been authorized by the other country concerned;the amateur station has received written authorization from Industry Canada to pass third party traffic;the communication is transmitted by secret code;prior remuneration has been received;Un radioamateur peut exploiter sa station afin de transmettre des communications internationales de la part de tiers à la condition :;que ces communications soient autorisées par l'autre pays en cause;que la station ait reçu l'autorisation écrite d'Industrie Canada de transmettre des communications pour de tierces personnes;que ces communications soient transmises par code secret;d'avoir préalablement reçu une rémunération
B-001-014-004;A person operating a Canadian amateur station is forbidden to communicate with amateur stations of another country:;when that country has notified the International Telecommunication Union that it objects to such communications;without written permission from Industry Canada;until he has properly identified his station;unless he is passing third-party traffic;Il est interdit à toute personne exploitant une station canadienne du service radioamateur de communiquer avec un radioamateur d'un autre pays :;quand ce pays a averti l'Union internationale des télécommunications qu'il s'oppose à ce genre de communication;sans la permission écrite d'Industrie Canada;tant qu'elle n'a pas correctement identifié sa station;à moins qu'elle transmette des communications de la part de tiers
B-001-014-005;International communications on behalf of third parties may be transmitted by an amateur station only if:;the countries concerned have authorized such communications;English or French is used to identify the station at the end of each transmission;the countries for which the traffic is intended have registered their consent to such communications with the ITU;radiotelegraphy is used;Aucune station du service radioamateur ne peut transmettre de communications internationales de la part d'un tiers à moins :;que ces communications aient été autorisées par les pays en cause;que l'anglais ou le français soit utilisé pour identifier la station à la fin de chaque transmission;que les pays auxquels ces communications sont destinées n'aient avisé l'UIT qu'ils permettent ce genre de communications;que la radiotélégraphie ne soit utilisée
B-001-014-006;Amateur third party communications is:;the transmission of non-commercial or personal messages to or on behalf of a third party;the transmission of commercial or secret messages;a simultaneous communication between three operators;none of these answers;Une communication d'un radioamateur au nom d'une tierce personne est :;une transmission de messages non commerciaux ou personnels pour ou de la part d'une tierce personne;une transmission de messages commerciaux ou secrets;une communication simultanée entre trois opérateurs;aucune de ces réponses n'est valable
B-001-014-007;International third party amateur radio communication in case of emergencies or disaster relief is expressly permitted unless:;specifically prohibited by the foreign administration concerned;satellite communication can be originated in the disaster area;the foreign administration is in a declared state of war;internet service is working well in the foreign country involved;Les communications au nom d'un tiers en cas d'urgence ou aux fins de secours aux sinistrés sont expressément autorisées, à moins que :;explicitement interdites par l'administration étrangère;la télécommunication par satellite soit possible depuis la zone sinistrée;l'administration étrangère soit en état de guerre;le service Internet fonctionne bien dans le pays en question
B-001-014-008;One of the following is not considered to be communications on behalf of a third party, even though the message is originated by, or addressed to, a non-amateur:;messages originated from Canadian Forces Affiliate Radio Service (CFARS);messages that are handled within a local network;messages addressed to points within Canada;all messages received from Canadian stations;Un des énoncés suivants n'est pas considéré comme une communication au nom d'un tiers, même si le message provient d'une personne autre qu'un radioamateur ou lui est destiné :;les messages qui proviennent du réseau radio affilié des forces canadiennes (CFARS);les messages transmis au sein d'un réseau local;les messages adressés à des endroits au Canada;tous les messages provenant de stations canadiennes
B-001-014-009;One of the following is not considered to be communications on behalf of a third party, even though the message may be originated by, or addressed to, a non-amateur:;messages that originate from the United States Military Auxiliary Radio System (MARS);all messages originated by Canadian amateur stations;messages addressed to points within Canada from the United States;messages that are handled within local networks during a simulated emergency exercise;Un des énoncés suivants n'est pas considéré comme une communication au nom d'un tiers, même si le message provient d'une personne autre qu'un radioamateur ou lui est destiné :;les messages qui proviennent du United States Military Auxiliary Radio System (MARS);tous les messages provenant de stations du service radioamateur canadien;les messages adressés à des endroits au Canada à partir des États-Unis;les messages transmis au sein de réseaux locaux au cours d'un exercice d'urgence
B-001-014-010;Which of the following is not correct? While operating in Canada a radio amateur licensed by the Government of the United States must:;obtain a Canadian amateur certificate before operating in Canada;add to his call sign the Canadian call sign prefix for the geographic location of the station;qualify his identification when operating phone by adding to the call sign the word "mobile" or "portable" or when operating Morse code by adding a slash "/";identify with the call sign assigned by the FCC;Lequel des énoncés suivants est faux? Lorsqu'il est de passage au Canada, un radioamateur titulaire d'une licence émise par le gouvernement américain doit :;obtenir un certificat d'opérateur radioamateur canadien avant d'opérer au Canada;ajouter à son indicatif le préfixe d'indicatif d'appel canadien selon sa situation géographique;préciser le type de station en ajoutant à son indicatif le mot "mobile" ou "portable", d'abord précédé d'une barre oblique s'il opère en code Morse;s'identifier avec l'indicatif d'appel attribué par la FCC
B-001-014-011;Which of the following statements is not correct? A Canadian radio amateur may, on amateur frequencies,:;pass third-party traffic with all duly licensed amateur stations in any country which is a member of the ITU;pass messages originating from or destined to the United States Military Auxiliary Radio System (MARS);pass messages originating from or destined to the Canadian Forces Affiliate Radio Service (CFARS);communicate with a similar station of a country which has not notified ITU that it objects to such communications;Lequel des énoncés suivants est faux? Un radioamateur canadien peut, sur les fréquences radioamateur, :;transmettre un message au nom d'un tiers à tout radioamateur de n'importe quel pays membre de l'UIT;transmettre des messages en provenance de, ou destiné au réseau radio auxiliaire de l'Armée américaine (MARS);transmettre des messages en provenance de, ou destiné au réseau radio affilié aux Forces canadiennes (CFARS);communiquer avec une station similaire dans un pays qui n'a pas notifié à l'UIT qu'il s'objecte à de telles communications
B-001-015-001;If you let another amateur with additional qualifications than yours control your station, what operating privileges are allowed?;Only the privileges allowed by your qualifications;Any privileges allowed by the additional qualifications;All the emission privileges of the additional qualifications, but only the frequency privileges of your qualifications;All the frequency privileges of the additional qualifications, but only the emission privileges of your qualifications;Si un radioamateur avec plus de compétence que vous utilise votre station, quels sont ses privilèges?;Seulement les privilèges que vous avez vous-même;Tous les privilèges que lui confèrent ses compétences;Tous les genres d'émission auxquels ses privilèges donnent droit, mais seulement sur les fréquences auxquelles vous avez accès;Toutes les fréquences auxquelles ses privilèges donnent droit, mais seulement les modes d'émission auxquels vous avez accès
B-001-015-002;If you are the control operator at the station of another amateur who has additional qualifications to yours, what operating privileges are you allowed?;Only the privileges allowed by your qualifications;Any privileges allowed by the additional qualifications;All the emission privileges of the additional qualifications, but only the frequency privileges of your qualifications;All the frequency privileges of the additional qualifications, but only the emission privileges of your qualifications;Si vous émettez à partir de la station d'un autre amateur avec plus de compétence que vous, quels sont vos privilèges?;Seulement les privilèges qui sont autorisés par vos compétences;Tous les privilèges accordés au titulaire de la station;Tous les modes d'émission autorisés pour le titulaire, mais seulement sur les fréquences auxquelles vous avez accès;Toutes les fréquences autorisées pour le titulaire, mais seulement les modes d'émissions auxquels vous avez accès
B-001-015-003;In addition to passing the Basic written examination, what must you do before you are allowed to use amateur frequencies below 30 MHz?;You must pass a Morse code or Advanced test or attain a mark of 80% on the Basic exam;You must notify Industry Canada that you intend to operate on the HF bands;You must pass a Morse code test;You must attend a class to learn about HF communications;En plus de réussir l'examen écrit pour la compétence de base, quelle autre épreuve devez-vous réussir pour vous permettre d'utiliser les fréquences radio en dessous de 30 MHz?;Vous devez passer avec succès l'épreuve du code Morse  ou l'examen de compétence supérieure  ou obtenir 80 % dans l'examen de compétence de base;Vous devez aviser Industrie Canada de votre intention d'utiliser les bandes de fréquences HF;L'épreuve du code Morse;Vous devez suivre un cours pour apprendre comment utiliser les bandes HF
B-001-015-004;The holder of an amateur radio certificate may operate radio controlled models:;on all frequencies above 30 MHz;if the control transmitter does not exceed 15 kHz of occupied bandwidth;if the frequency used is below 30 MHz;if only pulse modulation is used;Le titulaire d'un certificat d'opérateur radioamateur peut utiliser les modèles télécommandés :;sur toutes les fréquences au-dessus de 30 MHz;si l'émetteur de commande nécessite au plus 15 kHz de largeur de bande;si la fréquence utilisée est inférieure à 30 MHz;si seulement la modulation par impulsions est utilisée
B-001-015-005;In Canada, the 75/80 metre amateur band corresponds in frequency to:;3.5 to 4.0 MHz;3.0 to 3.5 MHz;4.0 to 4.5 MHz;4.5 to 5.0 MHz;Au Canada, la bande du service radioamateur de 75 à 80 mètres correspond aux fréquences suivantes :;3,5 à 4,0 MHz;3,0 à 3,5 MHz;4,0 à 4,5 MHz;4,5 à 5,0 MHz
B-001-015-006;In Canada, the 160 metre amateur band corresponds in frequency to:;1.8 to 2.0 MHz;1.5 to 2.0 MHz;2.0 to 2.25 MHz;2.25 to 2.5 MHz;Au Canada, la bande du service radioamateur de 160 mètres correspond aux fréquences suivantes :;1,8 à 2,0 MHz;1,5 à 2,0 MHz;2,0 à 2,25 MHz;2,25 à 2,5 MHz
B-001-015-007;In Canada, the 40 metre amateur band corresponds in frequency to:;7.0 to 7.3 MHz;6.5 to 6.8 MHz;6.0 to 6.3 MHz;7.7 to 8.0 MHz;Au Canada, la bande du service radioamateur de 40 mètres correspond aux fréquences suivantes :;7,0 à 7,3 MHz;6,5 à 6,8 MHz;6,0 à 6,3 MHz;7,7 à 8,0 MHz
B-001-015-008;In Canada, the 20 meter amateur band corresponds in frequency to:;14.000 to 14.350 MHz;13.500 to 14.000 MHz;15.000 to 15.750 MHz;16.350 to 16.830 MHz;Au Canada, la bande du service radioamateur de 20 mètres correspond aux fréquences suivantes :;14,000 à 14,350 MHz;13,500 à 14,000 MHz;15,000 à 15,750 MHz;16,350 à 16,830 MHz
B-001-015-009;In Canada, the 15 metre amateur band corresponds in frequency to:;21.000 to 21.450 MHz;18.068 to 18.168 MHz;14.000 to 14.350 MHz;28.000 to 29.700 MHz;Au Canada, la bande de fréquences du service radioamateur de 15 mètres correspond aux fréquences suivantes :;21,000 à 21,450 MHz;18,068 à 18,168 MHz;14,000 à 14,350 MHz;28,000 à 29,700 MHz
B-001-015-010;In Canada, the 10 metre amateur band corresponds in frequency to:;28.000 to 29.700 MHz;24.890 to 24.990 MHz;21.000 to 21.450 MHz;50.000 to 54.000 MHz;Au Canada, la bande de fréquences du service radioamateur de 10 mètres correspond aux fréquences suivantes :;28,000 à 29,700 MHz;24,890 à 24,990 MHz;21,000 à 21,450 MHz;50,000 à 54,000 MHz
B-001-015-011;In Canada, radio amateurs may use which of the following for radio control of models:;all amateur frequency bands above 30 MHz;50 to 54 MHz only;all amateur frequency bands;50 to 54, 144 to 148, and 222 to 225 MHz only;Au Canada, quelles bandes de fréquences les radioamateurs peuvent-ils utiliser pour télécommander des modèles réduits :;toutes les bandes du service radioamateur supérieures à 30 MHz;50 à 54 MHz seulement;toutes les bandes du service radioamateur;50 à 54, 144 à 148, et 222 à 225 MHz seulement
B-001-016-001;What is the maximum authorized bandwidth within the frequency range of 50 to 148 MHz?;30 kHz;20 kHz;The total bandwidth shall not exceed that of a single-sideband phone emission;The total bandwidth shall not exceed 10 times that of a CW emission;Quelle est la largeur de bande autorisée dans les bandes de fréquences entre 50 et 148 MHz?;30 kHz;20 kHz;La largeur de bande ne doit pas excéder celle d'une émission en phonie sur bande latérale unique;La largeur de bande ne doit pas excéder plus de 10 fois celle d'une émission en ondes entretenues (CW)
B-001-016-002;The maximum bandwidth of an amateur station's transmission allowed in the band 28 to 29.7 MHz is:;20 kHz;6 kHz;30 kHz;15 kHz;La largeur de bande maximale pouvant être utilisée par une station du service radioamateur dans la bande 28,0 à 29,7 MHz est de :;20 kHz;6 kHz;30 kHz;15 kHz
B-001-016-003;Except for one band, the maximum bandwidth of an amateur station's transmission allowed between 7 and 28 MHz is:;6 kHz;15 kHz;20 kHz;30 kHz;À l'exception d'une bande de fréquences, la largeur de bande maximale pouvant être utilisée par une station du service radioamateur entre 7 et 28 MHz est de :;6 kHz;15 kHz;20 kHz;30 kHz
B-001-016-004;The maximum bandwidth of an amateur station's transmission allowed in the band 144 to 148 MHz is:;30 kHz;6 kHz;20 kHz;15 kHz;La largeur de bande maximale pouvant être utilisée par une station du service radioamateur dans la bande de 144 à 148 MHz est de :;30 kHz;6 kHz;20 kHz;15 kHz
B-001-016-005;The maximum bandwidth of an amateur station's transmission allowed in the band 50 to 54 MHz is:;30 kHz;20 kHz;6 kHz;15 kHz;La largeur de bande maximale pouvant être utilisée par une station du service radioamateur dans la bande de 50 à 54 MHz est de :;30 kHz;20 kHz;6 kHz;15 kHz
B-001-016-006;Which of the following bands of amateur frequencies has a maximum allowed bandwidth of less than 6 kHz. That band is:;10.1 to 10.15 MHz;18.068 to 18.168 MHz;24.89 to 24.99 MHz;1.8 to 2.0 MHz;Parmi les bandes suivantes du service radioamateur, laquelle a une largeur de bande maximale autorisée de moins de 6 kHz?;10,1 à 10,15 MHz;18,068 à 18,168 MHz;24,89 à 24,99 MHz;1,8 à 2,0 MHz
B-001-016-007;Single sideband is not permitted in the band:;10.1 to 10.15 MHz;18.068 to 18.168 MHz;24.89 to 24.99 MHz;7.0 to 7.3 MHz;L'exploitation en bande latérale unique est interdite dans la bande :;10,1 - 10,15 MHz;18,068 - 18,168 MHz;24,89 - 24,99 MHz;7,0 - 7,3 MHz
B-001-016-008;What precaution must an amateur radio operator take when transmitting near band edges?;Ensure that the bandwidth required on either side of the carrier frequency does not fall out of band;Restrict operation to telegraphy;Make sure that the emission mode is compatible with agreed band plans;Watch the standing wave ratio so as not to damage the transmitter;Quelle précaution doit prendre l'opérateur lorsqu'il émet tout près des extrémités d'une bande du service radioamateur?;S'assurer que la largeur de bande nécessaire de chaque côté de la porteuse n'excède pas hors bande;S'en tenir à la télégraphie;S'assurer que le mode d'émission est conforme aux plans de bande officiels;Surveiller le rapport d'onde stationnaire pour ne pas endommager l'émetteur
B-001-016-009;Which of the following answers is not correct? Based on the bandwidth required, the following modes may be transmitted on these frequencies:;fast-scan television (ATV) on 145 MHz;AMTOR on 14.08 MHz;300 bps packet on 10.145 MHz;fast-scan television (ATV) on 440 MHz;Lequel des énoncés suivants est faux? Selon la largeur de bande requise, les modes suivants peuvent être émis sur ces fréquences :;la télévision radioamateur à balayage rapide ("ATV") sur 145 MHz;l'AMTOR sur 14,08 MHz;le paquet à 300 b/s sur 10,145 MHz;la télévision radioamateur à balayage rapide ("ATV") sur 440 MHz
B-001-016-010;Which of the following answers is not correct? Based on the bandwidth required, the following modes may be transmitted on these frequencies:;fast-scan television (ATV) on 14.23 MHz;slow-scan television (SSTV) on 14.23 MHz;frequency modulation (FM) on 29.6 MHz;single-sideband (SSB) on 3.76 MHz;Lequel des énoncés suivants est faux? En se basant sur la largeur de bande requise, on peut employer les modes suivants pour émettre sur ces fréquences :;la télévision à balayage rapide ("ATV") sur 14,23 MHz;la télévision à balayage lent ("SSTV") sur 14,23 MHz;la modulation de fréquence (FM) sur 29,6 MHz;la modulation en bande latérale unique (BLU) sur 3,76 MHz
B-001-016-011;Which of the following answers is not correct? Based on the bandwidth required, the following modes may be transmitted on these frequencies:;single-sideband (SSB) on 10.12 MHz;frequency modulation (FM) on 29.6 MHz;Morse radiotelegraphy (CW) on 10.11 MHz;300 bps packet on 10.148 MHz;Lequel des énoncés suivants est faux? En se basant sur la largeur de bande requise, on peut employer les modes suivants pour émettre sur ces fréquences :;la modulation en bande latérale unique (BLU) sur 10,12 MHz;la modulation de fréquence (FM) sur 29,6 MHz;la radiotélégraphie en code Morse sur 10,11 MHz;la transmission par paquets à 300 b/s sur 10,148 MHz
B-001-017-001;What amount of transmitter power should radio amateurs use at all times?;The minimum legal power necessary to communicate;25 watts PEP output;250 watts PEP output;2000 watts PEP output;Quelle puissance d'émission devrait être utilisée en tout temps par les radioamateurs?;La puissance minimale légale pour permettre la communication;25 watts de puissance de sortie;250 watts de puissance de sortie;2000 watts de puissance de sortie
B-001-017-002;What is the most FM transmitter power a holder of only Basic Qualification may use on 147 MHz?;250 W DC input;1000 watts DC input;200 watts PEP output;25 watts PEP output;Quelle est la puissance maximale que le détenteur de la seule compétence de base peut utiliser en FM à 147 MHz?;250 watts de puissance d'entrée en courant continu;1000 watts de puissance d'entrée en courant continu;200 watts de puissance de sortie en crête de modulation;25 watts de puissance de sortie en crête de modulation
B-001-017-003;Where in your station can you verify that legal power limits are respected?;At the antenna connector of the transmitter or amplifier;At the power amplifier RF input terminals inside the transmitter or amplifier;On the antenna itself, after the transmission line;At the power supply terminals inside the transmitter or amplifier;À quel point pouvez-vous vérifier que votre station respecte les limites légales de puissance d'émission?;Au connecteur d'antenne sur l'émetteur ou l'amplificateur;Aux bornes d'entrée RF de l'amplificateur de puissance, à l'intérieur de l'émetteur ou de l'amplificateur;Sur l'antenne elle-même, après la ligne de transmission;Aux bornes du bloc d'alimentation, à l'intérieur de l'émetteur ou de l'amplificateur
B-001-017-004;What is the maximum transmitting output power an amateur station may use on 3750 kHz, if the operator has Basic and Morse code qualifications?;560 watts PEP output for SSB operation;1000 watts PEP output for SSB operation;1500 watts PEP output for SSB operation;2000 watts PEP output for SSB operation;Quelle est la puissance maximale que peut utiliser un radioamateur qui possède les compétences de base et code Morse, sur la fréquence de 3750 kHz?;560 watts de puissance de sortie en crête de modulation pour une émission en BLU;1 000 watts de puissance de sortie en crête de modulation pour une émission en BLU;1 500 watts de puissance de sortie en crête de modulation pour une émission en BLU;2 000 watts de puissance de sortie en crête de modulation pour une émission en BLU
B-001-017-005;What is the maximum transmitting power an amateur station may use for SSB operation on 7055 kHz, if the operator has Basic with Honours qualifications?;560 watts PEP output;1000 watts PEP output;2000 watts PEP output;200 watts PEP output;Quelle est la puissance maximale que peut utiliser un radioamateur qui possède la compétence de base avec distinction sur la fréquence de 7055 kHz pour une émission en BLU?;560 watts de puissance de sortie en crête de modulation;1 000 watts de puissance de sortie en crête de modulation;2 000 watts de puissance de sortie en crête de modulation;200 watts de puissance de sortie en crête de modulation
B-001-017-006;The DC power input to the anode or collector circuit of the final RF stage of a transmitter, used by a holder of an Amateur Radio Operator Certificate with Advanced Qualification, shall not exceed:;1000 watts;250 watts;500 watts;750 watts;La puissance en courant continu à l'entrée de l'anode ou du collecteur de l'étage final RF de l'émetteur, utilisée par le titulaire d'un Certificat d'opérateur radioamateur avec compétence supérieure, ne doit pas excéder :;1 000 watts;250 watts;500 watts;750 watts
B-001-017-007;The maximum DC input to the final stage of an amateur transmitter, when the operator is the holder of both the Basic and Advanced qualifications, is:;1000 watts;250 watts;1500 watts;500 watts;La puissance maximale de l'alimentation CC à l'étage final d'un émetteur, permise au titulaire d'un Certificat d'opérateur radioamateur avec compétence de base et compétence supérieure, est :;1 000 watts;250 watts;1 500 watts;500 watts
B-001-017-008;The operator of an amateur station, who is the holder of a Basic Qualification, shall ensure that the station power, when expressed as RF output power measured across an impedance matched load, does not exceed:;560 watts peak-envelope power, for transmitters producing any type of single sideband emission;2500 watts peak power;1000 watts carrier power for transmitters producing other emissions;150 watts peak power;L'opérateur d'une station du service radioamateur avec compétence de base doit s'assurer que la puissance de la station, si elle est exprimée en tant que puissance de sortie RF mesurée aux bornes d'une charge adaptée en impédance, ne dépasse pas :;560 watts de puissance en crête de modulation dans le cas des émetteurs produisant des émissions à bande latérale unique;2 500 watts de puissance de crête;1 000 watts de puissance pour ce qui est de la porteuse dans le cas des émetteurs produisant des émissions autres;150 watts de puissance de crête
B-001-017-009;The holder of an Amateur Radio Operator Certificate with Basic Qualification is limited to a maximum of _______ watts when expressed as direct current input power to the anode or collector circuit of the transmitter stage supplying radio frequency energy to the antenna:;250;1000;750;100;Le titulaire d'un Certificat d'opérateur radioamateur avec compétence de base doit respecter une puissance d'émission maximale de ________watts si elle est exprimée en tant que puissance d'entrée en courant continu dans le circuit d'anode ou de collecteur de l'étage de l'émetteur qui fournit l'énergie radioélectrique à l'antenne :;250;1 000;750;100
B-001-017-010;Which of the following is the most powerful equipment the holder of a Basic with Honours certificate can legally operate at full power?;160 watts carrier power VHF amplifier;100 watts carrier power HF transmitter;200 watts carrier power HF transceiver;600 watts PEP HF linear amplifier;Quel est l'équipement le plus puissant de la liste ci-dessous que le titulaire d'un certificat de base avec distinction peut exploiter légalement à pleine puissance?;Amplificateur VHF avec 160 watts de porteuse;Émetteur HF avec 100 watts de porteuse;Émetteur HF avec 200 watts de porteuse;Amplificateur HF linéaire avec 600 watts de puissance en crête de modulation ("PEP")
B-001-018-001;What kind of amateur station automatically retransmits the signals of other stations?;Repeater station;Space station control and telemetry link;Remote-control station;Beacon station;Comment appelle-t-on une station du service radioamateur qui retransmet automatiquement les signaux des autres stations?;Un répéteur;Un lien de contrôle et télémesure avec une station spatiale;Une station télécommandée;Une station balise
B-001-018-002;An unmodulated carrier may be transmitted only:;for brief tests on frequencies below 30 MHz;if the output to the final RF amplifier is kept under 5W;when transmitting SSB;in frequency bands below 30 MHz;L'émission d'une porteuse non modulée est permise seulement :;pour de brèves émissions d'essais sur des fréquences inférieures à 30 MHz;lorsque la puissance de l'amplificateur de puissance RF est inférieure à 5 W;en mode d'émission à bande latérale unique;dans les bandes de fréquences inférieures à 30 MHz
B-001-018-003;Radiotelephone signals in a frequency band below ____ MHz cannot be automatically retransmitted, unless these signals are received from a station operated by a person qualified to transmit on frequencies below the above frequency:;29.5 MHz;29.7 MHz;50 MHz;144 MHz;Les signaux radiotéléphoniques dans une bande de fréquences inférieures à ___ MHz ne peuvent pas être retransmis automatiquement à moins que ces signaux proviennent d'une station opérée par une personne qualifiée pour émettre sous cette fréquence :;29,5 MHz;29,7 MHz;50 MHz;144 MHz
